politicoId;casaLegislativa;estado;nascimento;nomeParlamentar;sexo;partido;condicao;gastoCnpjCpf;gastoEmpresa;gastoData;gastoTipo;gastoDescricao;gastoValor;mesAno
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597001098;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;13/08/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";50;2015-8
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597001411;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;19/08/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";14999;2015-8
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597001683;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;21/05/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";100;2015-5
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597004518;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;04/05/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";18004;2015-5
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;17/03/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";100;2015-3
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;15/04/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";100;2015-4
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;07/05/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";14006;2015-5
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;21/05/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";19004;2015-5
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;17/06/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";15435;2015-6
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;15/07/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";100;2015-7
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;16/07/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";13844;2015-7
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;27/07/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";100;2015-7
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;13/08/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";0;2015-8
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;13/08/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";0;2015-8
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;13/08/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";15002;2015-8
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;07/10/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";17002;2015-10
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;14/10/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";17005;2015-10
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;15/10/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";17498;2015-10
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;02/03/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";150;2015-3
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;05/03/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";13498;2015-3
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;11/03/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";16896;2015-3
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;23/03/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";150;2015-3
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;30/03/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";100;2015-3
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;19/03/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";230;2015-3
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;25/03/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";180;2015-3
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;31/03/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";145;2015-3
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;07/04/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";180;2015-4
74173;1;RJ;29/09/1958 00:00;EDUARDO CUNHA;M;PMDB;0;00306597005670;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA;14/04/2015 00:00;COMBUSTÍVEIS E LUBRIFICANTES.;"""Veículos Automotores""";170;2015-4
